isco88_1digit;isco88_1digit_label;isco88_2digit;isco88_2digit_label;isco88_3digit;isco88_3digit_label;isco88_4digit;isco88_4digit_label
4;Clerks;41;Office Clerks;411;SECRETARIES AND KEYBOARD-OPERATING CLERKS ;4111;Stenographers and typists
4;Clerks;41;Office Clerks;411;SECRETARIES AND KEYBOARD-OPERATING CLERKS ;4112;Word-processor and related operators
4;Clerks;41;Office Clerks;411;SECRETARIES AND KEYBOARD-OPERATING CLERKS ;4113;Data entry operators
4;Clerks;41;Office Clerks;411;SECRETARIES AND KEYBOARD-OPERATING CLERKS ;4114;Calculating-machine operators
4;Clerks;41;Office Clerks;411;SECRETARIES AND KEYBOARD-OPERATING CLERKS ;4115;Secretaries
4;Clerks;41;Office Clerks;412;NUMERICAL CLERKS ;4121;Accounting and bookkeeping clerks
4;Clerks;41;Office Clerks;412;NUMERICAL CLERKS ;4122;Statistical and finance clerks
4;Clerks;41;Office Clerks;413;MATERIAL-RECORDING AND TRANSPORT CLERKS ;4131;Stock clerks
4;Clerks;41;Office Clerks;413;MATERIAL-RECORDING AND TRANSPORT CLERKS ;4132;Production clerks
4;Clerks;41;Office Clerks;413;MATERIAL-RECORDING AND TRANSPORT CLERKS ;4133;Transport clerks
4;Clerks;41;Office Clerks;414;LIBRARY, MAIL AND RELATED CLERKS ;4141;Library and filing clerks
4;Clerks;41;Office Clerks;414;LIBRARY, MAIL AND RELATED CLERKS ;4142;Mail carriers and sorting clerks
4;Clerks;41;Office Clerks;414;LIBRARY, MAIL AND RELATED CLERKS ;4143;Coding, proof-reading and related clerks
4;Clerks;41;Office Clerks;414;LIBRARY, MAIL AND RELATED CLERKS ;4144;Scribes and related workers
4;Clerks;41;Office Clerks;419;OTHER OFFICE CLERKS ;4190;Other office clerks
4;Clerks;42;Customer Services Clerks;421;CASHIERS, TELLERS AND RELATED CLERKS ;4211;Cashiers and ticket clerks
4;Clerks;42;Customer Services Clerks;421;CASHIERS, TELLERS AND RELATED CLERKS ;4212;Tellers and other counter clerks
4;Clerks;42;Customer Services Clerks;421;CASHIERS, TELLERS AND RELATED CLERKS ;4213;Bookmakers and croupiers
4;Clerks;42;Customer Services Clerks;421;CASHIERS, TELLERS AND RELATED CLERKS ;4214;Pawnbrokers and money-lenders
4;Clerks;42;Customer Services Clerks;421;CASHIERS, TELLERS AND RELATED CLERKS ;4215;Debt-collectors and related workers
4;Clerks;42;Customer Services Clerks;422;CLIENT INFORMATION CLERKS ;4221;Travel agency and related clerks
4;Clerks;42;Customer Services Clerks;422;CLIENT INFORMATION CLERKS ;4222;Receptionists and information clerks
4;Clerks;42;Customer Services Clerks;422;CLIENT INFORMATION CLERKS ;4223;Telephone switchboard operators
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;511;TRAVEL ATTENDANTS AND RELATED WORKERS ;5111;Travel attendants and travel stewards
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;511;TRAVEL ATTENDANTS AND RELATED WORKERS ;5112;Transport conductors
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;511;TRAVEL ATTENDANTS AND RELATED WORKERS ;5113;Travel guides
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;512;HOUSEKEEPING AND RESTAURANT SERVICES WORKERS ;5121;Housekeepers and related workers
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;512;HOUSEKEEPING AND RESTAURANT SERVICES WORKERS ;5122;Cooks
